colony,date,distance,from,from_ID,from_ID_date,from_nest_size,from_x,from_y,network_ID,strength,to,to_ID,to_ID_date,to_nest_size,to_x,to_y,trail_ID,trail_type,tree_type,year,treatment,dataset
2b,27/06/2019,5.530757125,N9,2b_N9,2b_N9_2019-06-27,5.206042207,12.67419139,8.658116085,2b_2019-06-27,0.2,T3,2b_T3,2b_T3_2019-06-27,1,9.883368433,13.43311154,2b_2019-06-27_N9_T3,foraging,focal,2019,exclusion,Empirical exclusion
2b,27/06/2019,9.783888143,N5,2b_N5,2b_N5_2019-06-27,131.57418,6.475667202,4.26184993,2b_2019-06-27,0.2,T3,2b_T3,2b_T3_2019-06-27,1,9.883368433,13.43311154,2b_2019-06-27_N5_T3,foraging,focal,2019,exclusion,Empirical exclusion
2b,10/08/2020,6.300000004,N6,2b_N6,2b_N6_2020-08-10,38.92263507,12.24339362,7.591854726,2b_2020-08-10,0.05,T3,2b_T3,2b_T3_2020-08-10,1,9.883368433,13.43311154,2b_2020-08-10_N6_T3,foraging,focal,2020,exclusion,Empirical exclusion
2b,25/08/2015,20.09999999,N9,2b_N9,2b_N9_2015-08-25,2.505,12.67419139,8.658116085,2b_2015-08-25,0.04,T4,2b_T4,2b_T4_2015-08-25,1,19.21811469,27.66303828,2b_2015-08-25_N9_T4,foraging,regular,2015,exclusion,Estimation
2b,25/08/2014,20.09999999,N9,2b_N9,2b_N9_2014-08-25,3.33,12.67419139,8.658116085,2b_2014-08-25,0.083,T4,2b_T4,2b_T4_2014-08-25,1,19.21811469,27.66303828,2b_2014-08-25_N9_T4,foraging,regular,2014,exclusion,Estimation
2b,22/08/2017,20.09999999,N9,2b_N9,2b_N9_2017-08-22,3.468,12.67419139,8.658116085,2b_2017-08-22,0.2,T4,2b_T4,2b_T4_2017-08-22,1,19.21811469,27.66303828,2b_2017-08-22_N9_T4,foraging,regular,2017,exclusion,Empirical exclusion
2b,22/08/2017,26.64555468,N5,2b_N5,2b_N5_2017-08-22,65.653,6.475667202,4.26184993,2b_2017-08-22,0.1,T4,2b_T4,2b_T4_2017-08-22,1,19.21811469,27.66303828,2b_2017-08-22_N5_T4,foraging,regular,2017,exclusion,Empirical exclusion
2b,12/06/2018,20.09999999,N9,2b_N9,2b_N9_2018-06-12,1.539795354,12.67419139,8.658116085,2b_2018-06-12,0.1,T4,2b_T4,2b_T4_2018-06-12,1,19.21811469,27.66303828,2b_2018-06-12_N9_T4,foraging,regular,2018,exclusion,Empirical exclusion
2b,12/06/2018,26.64555468,N5,2b_N5,2b_N5_2018-06-12,40.49289019,6.475667202,4.26184993,2b_2018-06-12,0.333,T4,2b_T4,2b_T4_2018-06-12,1,19.21811469,27.66303828,2b_2018-06-12_N5_T4,foraging,regular,2018,exclusion,Empirical exclusion
2b,27/06/2019,20.09999999,N9,2b_N9,2b_N9_2019-06-27,5.206042207,12.67419139,8.658116085,2b_2019-06-27,0.2,T4,2b_T4,2b_T4_2019-06-27,1,19.21811469,27.66303828,2b_2019-06-27_N9_T4,foraging,regular,2019,exclusion,Empirical exclusion
2b,27/06/2019,26.64555468,N5,2b_N5,2b_N5_2019-06-27,131.57418,6.475667202,4.26184993,2b_2019-06-27,0.1,T4,2b_T4,2b_T4_2019-06-27,1,19.21811469,27.66303828,2b_2019-06-27_N5_T4,foraging,regular,2019,exclusion,Empirical exclusion
2b,22/08/2017,2.999999998,N17,2b_N17,2b_N17_2017-08-22,11.983,12.3893141,-2.785758202,2b_2017-08-22,0.05,T5,2b_T5,2b_T5_2017-08-22,1,10.84419833,-0.214257231,2b_2017-08-22_N17_T5,foraging,regular,2017,exclusion,Empirical exclusion
2b,12/06/2018,2.999999998,N17,2b_N17,2b_N17_2018-06-12,6.125364721,12.3893141,-2.785758202,2b_2018-06-12,0.003,T5,2b_T5,2b_T5_2018-06-12,1,10.84419833,-0.214257231,2b_2018-06-12_N17_T5,foraging,regular,2018,exclusion,Empirical exclusion
