network_ID,colony,date,node_ID,ID,x,y,species,nest.size,year,tree_type,treatment,dataset
10_2017-08-22,10,22/08/2017,10_N5,N5,-8.721187098,-2.833689399,nest,1.145,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N6,N6,0,0,nest,1.441,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N7,N7,2.944484959,1.700002449,nest,1.364,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N8,N8,9.078799856,-1.510684525,nest,0.672,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N9,N9,10.95238094,-0.901920281,nest,0.728,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_T8,T8,13.73797786,-12.32148889,tree,0,2017,focal,exclusion,Empirical exclusion
10_2018-06-12,10,12/06/2018,10_N11,N11,6.83379828,-10.24273476,nest,7.571688121,2018,regular,exclusion,Empirical exclusion
10_2018-06-12,10,12/06/2018,10_N14,N14,11.08970906,-12.97013617,nest,12.08542537,2018,regular,exclusion,Empirical exclusion
10_2018-06-12,10,12/06/2018,10_N21,N21,7.027442128,-6.547805524,nest,5.658302565,2018,regular,exclusion,Empirical exclusion
10_2018-06-12,10,12/06/2018,10_N29,N29,11.80481966,3.108484715,nest,0.754157953,2018,regular,exclusion,Empirical exclusion
10_2018-06-12,10,12/06/2018,10_N30,N30,-9.018478447,-1.723714171,nest,1.086077615,2018,regular,exclusion,Empirical exclusion
10_2018-06-12,10,12/06/2018,10_N32,N32,-5.670131804,-2.314116372,nest,1.166829761,2018,regular,exclusion,Empirical exclusion
10_2018-06-12,10,12/06/2018,10_N5,N5,-8.721187098,-2.833689399,nest,0.522329166,2018,regular,exclusion,Empirical exclusion
10_2018-06-12,10,12/06/2018,10_N6,N6,0,0,nest,1.194148062,2018,regular,exclusion,Empirical exclusion
10_2018-06-12,10,12/06/2018,10_N7,N7,2.944484959,1.700002449,nest,0.625059656,2018,regular,exclusion,Empirical exclusion
10_2018-06-12,10,12/06/2018,10_T5,T5,-0.664830998,-19.03839541,tree,0,2018,regular,exclusion,Empirical exclusion
10_2018-06-12,10,12/06/2018,10_T8,T8,13.73797786,-12.32148889,tree,0,2018,focal,exclusion,Empirical exclusion
10_2019-06-27,10,27/06/2019,10_N11,N11,6.83379828,-10.24273476,nest,2.951807446,2019,regular,exclusion,Empirical exclusion
10_2019-06-27,10,27/06/2019,10_N14,N14,11.08970906,-12.97013617,nest,7.149996639,2019,regular,exclusion,Empirical exclusion
10_2019-06-27,10,27/06/2019,10_N21,N21,7.027442128,-6.547805524,nest,11.44657979,2019,regular,exclusion,Empirical exclusion
10_2019-06-27,10,27/06/2019,10_N36,N36,-10.49764432,1.44836217,nest,0.53941318,2019,regular,exclusion,Empirical exclusion
10_2019-06-27,10,27/06/2019,10_N37,N37,10.95238094,-0.901920281,nest,0.064379508,2019,regular,exclusion,Empirical exclusion
10_2019-06-27,10,27/06/2019,10_N38,N38,9.078799856,-1.510684525,nest,0.086578402,2019,regular,exclusion,Empirical exclusion
10_2019-06-27,10,27/06/2019,10_N5,N5,-8.721187098,-2.833689399,nest,19.28377506,2019,regular,exclusion,Empirical exclusion
10_2019-06-27,10,27/06/2019,10_T8,T8,13.73797786,-12.32148889,tree,0,2019,focal,exclusion,Empirical exclusion
10_2020-08-13,10,13/08/2020,10_N11,N11,6.83379828,-10.24273476,nest,36.86642758,2020,regular,exclusion,Empirical exclusion
10_2020-08-13,10,13/08/2020,10_N14,N14,11.08970906,-12.97013617,nest,25.92669918,2020,regular,exclusion,Empirical exclusion
10_2020-08-13,10,13/08/2020,10_N21,N21,7.027442128,-6.547805524,nest,39.71842581,2020,regular,exclusion,Empirical exclusion
