"dataset","colony","date","num_nests","num_trees","num_foraging","num_internest","trees_to_nests_rat","internest_to_nests_rat","foraging_to_nests_rat","num_components_nests","edge_density","edge_density_nests","network_efficiency","network_efficiency_nests","network_robustness","network_robustness_nests","network_cost","network_cost_nests","resource_capital","resource_variance"
"Estimation","2b",2013-08-28,6,3,5,4,0.5,0.666666666666667,0.833333333333333,2,0.125,0.133333333333333,0.0895810575068395,0.113348302028472,0.836566725455614,0.61038961038961,75.0373136250743,26.4305908369897,0.00121504429088668,3.16739888459536e-06
"Estimation","2b",2014-08-25,9,4,6,9,0.444444444444444,1,0.666666666666667,1,0.0961538461538461,0.125,0.0848377283409677,0.120367223120065,0.924063769928103,0.828282828282828,121.507449168897,52.6455611388658,0.01923382092238,0.00109060950441173
"Estimation","2b",2015-08-25,10,4,6,10,0.4,1,0.6,1,0.0879120879120879,0.111111111111111,0.0888531101788091,0.122416623191104,0.908453927867975,0.826469273743017,121.352599064806,52.8487280408965,0.00880096843301991,0.000170552815595922
"Estimation","2b",2016-08-22,11,2,7,10,0.181818181818182,0.909090909090909,0.636363636363636,2,0.108974358974359,0.0909090909090909,0.0975244066463826,0.0851846764415803,0.947097333204968,0.850551654964895,124.798778238859,50.6926796751215,0.00740941107515496,0.000228050309695257
"Empirical exclusion","2b",2017-08-22,14,4,6,10,0.285714285714286,0.714285714285714,0.428571428571429,4,0.0522875816993464,0.0549450549450549,0.0491754078588617,0.0540224683121528,0.89722048891499,0.864285714285714,124.37264396697,43.5076636491271,0.0063371360535054,0.000232454715284449
"Empirical exclusion","2b",2018-06-12,11,6,9,5,0.545454545454545,0.454545454545455,0.818181818181818,6,0.0514705882352941,0.0454545454545455,0.0402183933498951,0.0506694956634545,0.883455596889522,0.736585365853659,150.581173781615,18.1876506521257,0.0140399673570183,0.000586815452141592
"Empirical exclusion","2b",2019-06-27,11,6,9,8,0.545454545454545,0.727272727272727,0.818181818181818,3,0.0625,0.0727272727272727,0.0482664641492845,0.074433560144477,0.939486862894022,0.785458879618594,172.980581994913,44.8041926865241,0.00928982199341122,0.000572938477376024
"Empirical exclusion","2b",2020-08-10,10,4,8,5,0.4,0.5,0.8,5,0.0714285714285714,0.0555555555555556,0.0511856709570976,0.0443185371687408,0.872911453708935,0.666666666666667,127.086870978299,51.8490667382048,0.00693399789909124,0.000220694703073597
"Estimation","3",2012-07-26,12,6,9,12,0.5,1,0.75,1,0.0686274509803922,0.0909090909090909,0.192858875634319,0.278887341037084,0.933223949019535,0.839671628840261,74.3628891734137,32.5191826879968,0.00836047280462192,0.000123758828621175
"Estimation","3",2013-08-28,8,5,8,8,0.625,1,1,1,0.102564102564103,0.142857142857143,0.219517343730222,0.299019383943789,0.926204004329004,0.824704935622318,54.2790781489559,27.8993175386921,0.00480401702102618,2.31987046250669e-05
"Estimation","3",2014-08-25,16,7,15,20,0.4375,1.25,0.9375,1,0.0691699604743083,0.0833333333333333,0.150336465130293,0.186555906401124,0.976431148828408,0.914518863925392,151.493884455175,87.6683408443532,0.163623444096578,0.152906844068102
